POP_ID,WTRSHD_FID,psfstreamID,MatchType,WSD_ID_50K,StreamOrder
40107,19634,6573,4,37188,3
40111,19634,5928,4,37188,3
40117,13967,6653,4,,3
40127,13968,6550,4,37206,4
40131,13968,5898,4,37206,4
40133,13968,5761,4,37206,4
40137,13968,6595,4,,4
40141,13968,6037,4,,4
40145,13905,7894,4,37155,5
40147,13905,6638,4,37155,5
40149,13905,7183,5,37155,5
40149,13905,7506,5,37155,5
40151,13905,5987,4,37155,5
40153,13905,5781,4,37155,5
40157,13906,6574,4,37213,4
40161,13906,5930,4,37213,4
40163,13906,5751,4,37213,4
40167,13906,6630,4,,4
40171,13906,5972,4,,4
40173,13906,5773,4,,4
40177,13905,6563,4,37204,5
40181,13905,5918,4,37204,5
40183,13905,5769,4,37204,5
40187,13968,6647,4,37199,4
40191,13968,6002,4,37199,4
40195,13912,7881,1,37201,5
40197,13912,6610,1,37201,5
40201,13912,5944,1,37201,5
40207,13969,6591,4,37226,4
40211,13969,6031,4,37226,4
40217,13914,6588,4,37172,5
40219,13914,7152,4,37172,5
40221,13914,6380,4,37172,5
40227,13970,6824,4,,3
40237,13970,6814,4,,3
40245,13920,7670,4,37073,6
40247,13920,6821,4,37073,6
40249,13920,7398,4,37073,6
40249,13920,7660,4,37073,6
40251,13920,6444,4,37073,6
40253,13920,5774,4,37073,6
40257,13920,6806,4,,6
40261,13920,6353,4,,6
40267,13920,6815,4,,6
40275,13921,7669,4,37131,4
40277,13921,6819,4,37131,4
40279,13921,7659,4,37131,4
40281,13921,6440,4,37131,4
40283,13921,5772,4,37131,4
40287,13920,6809,4,37046,6
40289,13920,7634,4,37046,6
40291,13920,6363,4,37046,6
40293,13920,5758,4,37046,6
40297,13923,6810,4,37072,4
40305,13924,7668,4,37033,4
40307,13924,6813,4,37033,4
40311,13924,6395,4,37033,4
40313,13924,5803,4,37033,4
40315,13932,7850,4,36770,5
40317,13932,6808,4,36770,5
40319,13932,7363,4,36770,5
40319,13932,7633,4,36770,5
40321,13932,6359,4,36770,5
40323,13932,5757,4,36770,5
40345,13944,7664,1,37103,3
40347,13944,6802,1,37103,3
40351,13944,6457,1,37103,3
40355,13973,7703,1,35821,7
40357,13973,6816,1,35821,7
40359,13973,7392,1,35821,7
40359,13973,7653,1,35821,7
40361,13973,6426,1,35821,7
40363,13973,5770,1,35821,7
40367,13946,6805,4,37067,4
40371,13946,6324,4,37067,4
40373,13946,5753,4,37067,4
40380,13947,7676,4,36995,4
40382,13960,6811,4,36995,7
40386,13960,6370,4,36995,7
40390,13948,7702,4,36881,6
40392,13948,6801,4,36881,6
40396,13948,6454,4,36881,6
40398,13948,5768,4,36881,6
40402,13962,6799,4,,7
40406,13962,6448,4,,7
40408,13962,5764,4,,7
40410,64,7865,4,36768,6
40412,64,6812,4,36768,6
40416,64,6390,4,36768,6
40418,64,5802,4,36768,6
40420,69,7886,1,36902,4
40422,69,6817,1,36902,4
40424,69,7656,1,36902,4
40426,69,6429,1,36902,4
40430,129,7896,4,36763,3
40432,129,6823,4,36763,3
40436,129,6351,4,36763,3
40438,129,5783,4,36763,3
40442,129,6818,4,36775,3
40446,129,6435,4,36775,3
40450,70,7891,4,36312,5
40452,70,6822,4,36312,5
40454,70,7399,4,36312,5
40454,70,7594,4,36312,5
40456,70,6333,4,36312,5
40458,70,5776,4,36312,5
40460,70,7849,4,36724,5
40462,70,6807,4,36724,5
40466,70,6355,4,36724,5
40470,130,7826,4,,3
40472,130,6800,4,,3
40474,130,7345,4,,3
40474,130,7622,4,,3
40476,130,6451,4,,3
40478,130,5766,4,,3
40480,130,7835,4,,3
40482,130,6804,4,,3
40486,130,6312,4,,3
40488,130,5748,4,,3
40490,130,7889,4,,3
40492,130,6820,4,,3
40496,130,6442,4,,3
40500,75,7834,4,36174,5
40502,75,6803,4,36174,5
40506,75,6466,4,36174,5
40508,75,5747,4,36174,5
40510,77,7848,1,35884,5
40512,77,7043,1,35884,5
40514,77,7361,1,35884,5
40514,77,7631,1,35884,5
40516,77,6354,1,35884,5
40518,77,5756,1,35884,5
40520,80,7829,4,35610,4
40522,80,7020,4,35610,4
40524,80,7347,4,35610,4
40526,80,6458,4,35610,4
40528,80,5742,4,35610,4
40532,131,7089,6,35359,2
40542,82,7108,1,35046,6
40546,82,6345,1,35046,6
40548,82,5779,1,35046,6
40549,82,5779,1,35046,6
40555,92,7817,4,,6
40566,93,7029,4,34839,4
40569,93,5752,4,34839,4
40575,103,7842,4,34646,5
40577,103,7033,4,34646,5
40583,103,5754,4,34646,5
40585,112,7838,4,35435,5
40587,112,7027,4,35435,5
40591,112,6316,4,35435,5
