cuid,use,cuname,gen_length,sr_code,trtc_cu,FULL_CU_IN,cuindex,culabel,CU,spp,species,watershed,X
414,TRUE,Nass-Portland-Observatory,2,2,PKo_17,PKO-17,17,Nass-Portland-Observatory,Nass-Portland-Observatory,Pink,Pink (Odd),Nass,
412,FALSE,Upper Nass,,NA,NA,NA,,Upper Nass-PKE,,Pink,Pink (Even),Nass,
415,FALSE,Upper Nass,,NA,NA,NA,,Upper Nass-PKO,,Pink,Pink (Odd),Nass,
420,FALSE,Bowser,,NA,NA,NA,,Bowser,,Sockeye-Lake,Lake Sockeye,Nass,
418,FALSE,Clements,,NA,NA,NA,,Clements,,Sockeye-Lake,Lake Sockeye,Nass,
421,TRUE,Damdochax,5,1,SX_L-24-02,SEL-24-02,L-24-02,Damdochax,Damdochax,Sockeye-Lake,Lake Sockeye,Nass,
422,TRUE,Fred Wright,5,2,SX_L-24-03,SEL-24-03,L-24-03,Fred Wright,Fred Wright,Sockeye-Lake,Lake Sockeye,Nass,
423,FALSE,Kwinageese,,NA,NA,NA,,Kwinageese,,Sockeye-Lake,Lake Sockeye,Nass,
419,FALSE,Leverson,,NA,NA,NA,,Leverson,,Sockeye-Lake,Lake Sockeye,Nass,
424,TRUE,Meziadin,5,3,SX_L-24-05,SEL-24-05,L-24-05,Meziadin,Meziadin,Sockeye-Lake,Lake Sockeye,Nass,
425,FALSE,Oweegee,,NA,NA,NA,,Oweegee,,Sockeye-Lake,Lake Sockeye,Nass,
416,FALSE,Prudhomme,5,NA,SX_L-19-49,SEL-19-49,L-19-49,Prudhomme,Prudhomme,Sockeye-Lake,Lake Sockeye,Nass,
417,FALSE,Shawatlan,5,NA,SX_L-19-54,SEL-19-54,L-19-54,Shawatlan,Shawatlan,Sockeye-Lake,Lake Sockeye,Nass,
426,TRUE,Lower Nass-Portland,4,NA,SX_R20,SER-20,R20,Lower Nass-Portland,Lower Nass-Portland,Sockeye-River,River Sockeye,Nass,
427,FALSE,Upper Nass River,4,NA,SX_R21,SER-21,R21,Upper Nass River,Upper Nass River,Sockeye-River,River Sockeye,Nass,
205,FALSE,Ecstall,6,1,CN_46,CK-46,,Ecstall,Ecstall,Chinook,Chinook,Skeena,
210,TRUE,Lower Skeena-CK,6,4,CN_48,CK-48,,Lower Skeena,Lower Skeena-CK,Chinook,Chinook,Skeena,
206,FALSE,Kalum-early timing,6,2,CN_49,CK-49,,Kalum-Early,Kalum-early timing,Chinook,Chinook,Skeena,
207,TRUE,Kalum-late timing,6,3,CN_50,CK-50,,Kalum-Late,Kalum-late timing,Chinook,Chinook,Skeena,
222,TRUE,Middle Skeena-large lakes,6,5,CN_53,CK-53,,Middle Skeena-Large Lakes,Middle Skeena-large lakes,Chinook,Chinook,Skeena,
217,TRUE,Middle Skeena-mainstem tributaries,6,6,CN_54,CK-54,,Middle Skeena-Mainstem Tributaries,Middle Skeena-mainstem tributaries,Chinook,Chinook,Skeena,
221,FALSE,Upper Bulkley River,6,7,CN_55,CK-55,,Upper Bulkley River,Upper Bulkley River,Chinook,Chinook,Skeena,
224,FALSE,Skeena Estuary-CK,6,NA,NA,CK-45,,Skeena Estuary,Skeena Estuary-CK,Chinook,Chinook,Skeena,
212,FALSE,Upper Skeena-CK,6,NA,NA,CK-56,,Upper Skeena,Upper Skeena-CK,Chinook,Chinook,Skeena,
227,FALSE,Lakelse-CK,6,NA,NA,CK-51,,Lakelse,Lakelse-CK,Chinook,Chinook,Skeena,
229,FALSE,Zymoetz,6,NA,NA,CK-80,,Zymoetz,Zymoetz,Chinook,Chinook,Skeena,
241,FALSE,Sicintine,6,NA,NA,CK-81,,Sicintine,Sicintine-CK,Chinook,Chinook,Skeena,
211,TRUE,Lower Skeena-CM,4,2,CM_27,CM-27,,Lower Skeena,Lower Skeena-CM,Chum,Chum,Skeena,
214,FALSE,Middle Skeena-CM,NA,NA,CM_28,CM-28,,Middle Skeena,Middle Skeena-CM,Chum,Chum,Skeena,
220,FALSE,Skeena Estuary-CM,NA,NA,CM_26,CM-26,,Skeena Estuary,Skeena Estuary-CM,Chum,Chum,Skeena,
242,FALSE,Upper Skeena,6,NA,NA,NA,,Upper Skeena,Upper Skeena-CM,Chum,Chum,Skeena,
202,TRUE,Lower Skeena-CO,4,1,CO_32,CO-32,,Lower Skeena,Lower Skeena-CO,Coho,Coho,Skeena,
215,TRUE,Middle Skeena-CO,4,2,CO_33,CO-33,,Middle Skeena,Middle Skeena-CO,Coho,Coho,Skeena,
231,TRUE,Upper Skeena-CO,4,3,CO_34,CO-34,,Upper Skeena,Upper Skeena-CO,Coho,Coho,Skeena,
225,FALSE,Skeena Estuary-CO,4,NA,CO_31,CO-31,,Skeena Estuary,Skeena Estuary-CO,Coho,Coho,Skeena,
240,FALSE,Lower Skeena (even),2,NA,NA,NA,,Lower Skeena (even),,Pink,Pink (Even),Skeena,
213,TRUE,Middle & Upper Skeena (odd),2,5,PKo_16,PKO-16,,Middle-Upper Skeena (odd),Middle & Upper Skeena (odd),Pink,Pink (Odd),Skeena,
219,TRUE,Nass-Skeena Estuary (even),2,1,PKe_7,PKE-07,,Nass-Skeena Estuary (even),Nass-Skeena Estuary (even),Pink,Pink (Even),Skeena,
218,TRUE,Middle-Upper Skeena (even),2,2,PKe_8,PKE-08,,Middle-Upper Skeena (even),Middle-Upper Skeena (even),Pink,Pink (Even),Skeena,
223,TRUE,Nass-Skeena Estuary (odd),2,3,PKo_14,PKO-14,,Nass-Skeena Estuary (odd),Nass-Skeena Estuary (odd),Pink,Pink (Odd),Skeena,
209,TRUE,Lower Skeena (odd),2,4,PKo_15,PKO-15,,Lower Skeena River (odd),Lower Skeena (odd),Pink,Pink (Odd),Skeena,
172,FALSE,Aldrich,5,NA,NA,NA,L_20_02,Mcdonell/Dennis/Aldrich,,Sockeye-Lake,Lake Sockeye,Skeena,
173,FALSE,Dennis,5,NA,NA,NA,L_20_03,Mcdonell/Dennis/Aldrich,,Sockeye-Lake,Lake Sockeye,Skeena,
179,FALSE,Atna,5,NA,NA,NA,L_21_01,Morice/Atna,,Sockeye-Lake,Lake Sockeye,Skeena,
182,FALSE,Club Lake,5,NA,NA,NA,L_21_04,Swan/Club,,Sockeye-Lake,Lake Sockeye,Skeena,
184,FALSE,Maxan,5,NA,NA,NA,L_21_06,Bulkley/Maxan,,Sockeye-Lake,Lake Sockeye,Skeena,
204,FALSE,Babine-Pinkut,5,NA,NA,NA,,Babine (enhanced),,Sockeye-Lake,Lake Sockeye,Skeena,
243,FALSE,Onerka,5,NA,NA,NA,,Babine/Onerka,,Sockeye-Lake,Lake Sockeye,Skeena,
174,FALSE,Ecstall/Lower,5,NA,NA,SEL-20-04,L_20_04,Ecstall/Lower,Ecstall_Lower,Sockeye-Lake,Lake Sockeye,Skeena,
181,FALSE,Bulkley,5,NA,NA,SEL-21-03,L_21_03,Bulkley/Maxan,Bulkley,Sockeye-Lake,Lake Sockeye,Skeena,
194,FALSE,Johanson,5,NA,NA,SEL-22-05,L_22_05,Johanson,Johanson,Sockeye-Lake,Lake Sockeye,Skeena,
195,FALSE,Kluatantan,5,NA,NA,SEL-22-06,L_22_06,Kluatantan,Kluatantan,Sockeye-Lake,Lake Sockeye,Skeena,
196,FALSE,Kluayaz,5,NA,NA,SEL-22-07,L_22_07,Kluayaz,Kluayaz,Sockeye-Lake,Lake Sockeye,Skeena,
198,FALSE,Sicintine,5,NA,NA,SEL-22-09,L_22_09,Sicintine,Sicintine,Sockeye-Lake,Lake Sockeye,Skeena,
199,FALSE,Slamgeesh,5,NA,NA,SEL-22-10,L_22_10,Slamgeesh,Slamgeesh,Sockeye-Lake,Lake Sockeye,Skeena,
200,FALSE,Spawning,5,NA,NA,SEL-22-11,L_22_11,Spawning,Spawning,Sockeye-Lake,Lake Sockeye,Skeena,
201,FALSE,Sustut,5,NA,NA,SEL-22-12,L_22_12,Sustut,Sustut,Sockeye-Lake,Lake Sockeye,Skeena,
230,FALSE,Footsore/Hodder,5,NA,NA,SEL-21-12,,Footsore/Hodder,Footsore_Hodder,Sockeye-Lake,Lake Sockeye,Skeena,
171,TRUE,Alastair,6,1,SX_L-20-01,SEL-20-01,L_20_01,Alastair,Alastair,Sockeye-Lake,Lake Sockeye,Skeena,
175,FALSE,Johnston,5,8,SX_L-20-05,SEL-20-05,L_20_05,Johnston,Johnston,Sockeye-Lake,Lake Sockeye,Skeena,
176,TRUE,Kitsumkalum,5,9,SX_L-20-06,SEL-20-06,L_20_06,Kitsumkalum,Kitsumkalum,Sockeye-Lake,Lake Sockeye,Skeena,
177,TRUE,Lakelse,5,11,SX_L-20-07,SEL-20-07,L_20_07,Lakelse,Lakelse-SL,Sockeye-Lake,Lake Sockeye,Skeena,
178,TRUE,Mcdonell,5,12,SX_L-20-08,SEL-20-08,L_20_08,Mcdonell/Dennis/Aldrich,Mcdonell,Sockeye-Lake,Lake Sockeye,Skeena,
180,TRUE,Babine,5,5,SX_L-21-02-EW,SEL-21-02-EW,L_21_02,Babine/Onerka,Babine-SL,Sockeye-Lake,Lake Sockeye,Skeena,
203,TRUE,Babine (enhanced),5,4,SX_L-21-02-F,SEL-21-02-F,,Babine (enhanced),Babine (enhanced),Sockeye-Lake,Lake Sockeye,Skeena,
186,TRUE,Nilkitkwa,5,18,SX_L-21-02-LW,SEL-21-02-LW,L_21_08,Nilkitkwa,Nilkitkwa,Sockeye-Lake,Lake Sockeye,Skeena,
189,TRUE,Tahlo/Morrison,5,19,SX_L-21-02-MW,SEL-21-02-MW,L_21_11,Tahlo/Morrison,Tahlo_Morrison,Sockeye-Lake,Lake Sockeye,Skeena,
183,TRUE,Gitanyow,5,10,SX_L-21-05,SEL-21-05,L_21_05,Gitanyow (Kitwanga/Kitwancool),Kitwancool,Sockeye-Lake,Lake Sockeye,Skeena,
185,TRUE,Morice,6,13,SX_L-21-07,SEL-21-07,L_21_07,Morice/Atna,Morice,Sockeye-Lake,Lake Sockeye,Skeena,
187,TRUE,Stephens,5,16,SX_L-21-09,SEL-21-09,L_21_09,Stephens,Stephens,Sockeye-Lake,Lake Sockeye,Skeena,
188,TRUE,Swan,5,17,SX_L-21-10,SEL-21-10,L_21_10,Swan/Club,Swan,Sockeye-Lake,Lake Sockeye,Skeena,
190,TRUE,Asitika,5,2,SX_L-22-01,SEL-22-01,L_22_01,Asitika,Asitika,Sockeye-Lake,Lake Sockeye,Skeena,
191,TRUE,Azuklotz,5,3,SX_L-22-02,SEL-22-02,L_22_02,Azuklotz,Azuklotz,Sockeye-Lake,Lake Sockeye,Skeena,
192,TRUE,Bear,5,6,SX_L-22-03,SEL-22-03,L_22_03,Bear,Bear,Sockeye-Lake,Lake Sockeye,Skeena,
193,FALSE,Damshilgwit,5,7,SX_L-22-04,SEL-22-04,L_22_04,Damshilgwit,Damshilgwit,Sockeye-Lake,Lake Sockeye,Skeena,
197,TRUE,Motase,5,14,SX_L-22-08,SEL-22-08,L_22_08,Motase,Motase,Sockeye-Lake,Lake Sockeye,Skeena,
226,FALSE,Skeena River,5,NA,NA,SER-18,,Skeena River,Skeena River,Sockeye-River,River Sockeye,Skeena,
216,FALSE,Skeena River-high interior,5,15,SX_R19,SER-19,,Skeena River-High Interior,Skeena River-high interior,Sockeye-River,River Sockeye,Skeena,
